Recipe,Ingredients,Details
Паста Болоньезе,Репчатый лук,"Шаг 1

Готовим соус для спагетти болоньезе, лук и чеснок мелко рубим. Приготовьте соус для спагетти болоньезе.
Для этого лук с чесноком очистите. Лук разрежьте на половинки, затем нарежьте мелкими кубиками.
Зубчики чеснока раздавите плоской стороной ножа и порубите.

Шаг 2

Пассеруем лук и чеснок на сковороде
В большую сковороду налейте оливковое масло и нагрейте его.
Выложите нарезанные лук с чесноком и, помешивая, жарьте на среднем огне до легкого подрумянивания.

Шаг 3

Добавляем фарш, обжариваем, постоянно помешивая
К луку с чесноком добавьте фарш и, помешивая вилкой (чтобы не образовывались комочки),
жарьте на среднем огне в течение 10 минут. Мясная основа для соуса болоньезе готова!

Шаг 4

Нарезаем сладкий перец для соуса болоньезе, добавляем к фаршу
Сладкий перец, удалив семена и перегородки, нарежьте маленькими кубиками.
Добавьте в сковороду к мясу и, помешивая, жарьте 5 минут. Следите, чтобы перец не подгорел.

Шаг 5

Томаты пробиваем блендером, выкладываем к мясу с овощами
Помидоры очистите и переложите в чашу блендера. Измельчите на высокой скорости, затем добавьте в сковороду к мясу с овощами.
Посолите и поперчите. Добавьте пряные травы по вкусу и тушите соус болоньезе на маленьком огне 20 минут.

Шаг 6

Отвариваем спагетти
Приготовьте спагетти. Для этого в большой кастрюле доведите до кипения воду и немного посолите ее.
Опустите в нее спагетти, не разламывая. Делайте это постепенно, по мере размягчения погруженной в воду части.
Варите 10 минут.

Шаг 7

Готовую пасту откидываем на дуршлаг, даем стечь
Готовые спагетти откиньте на дуршлаг и дайте стечь жидкости. Промывать их не надо: так паста будет лучше соединяться с соусом.
Но добавить столовую ложку оливкового масла можно.

Шаг 8

Спагетти кладем в соус болоньезе, перемешиваем
Спагетти положите в соус болоньезе и перемешайте. Прогрейте все вместе. Затем разложите по порционным тарелкам и посыпьте тертым сыром.
Сразу подайте на стол."
Паста Болоньезе,Чеснок,
Паста Болоньезе,Растительное масло,
Паста Болоньезе,Фарш,
Паста Болоньезе,Сладкий перец,
Паста Болоньезе,Помидоры,
Паста Болоньезе,Спагетти,
Паста Болоньезе,Сыр,
Паста Болоньезе,Петрушка,
Паста Болоньезе,Соль,
Паста Болоньезе,Черный перец,
Паста Карбонара,Спагетти,"Шаг 1

Нарезаем бекон кубиками. Два зубчика чеснока раздавливаем ножом.
Разогреваем сковороду, растапливаем 1 ст. ложку сливочного масла и обжариваем бекон с чесноком. Жарим на слабом огне 10 минут,
из бекона должен вытопиться жир, но бекон должен остаться мягким. После обжаривания чеснок удаляем.

Шаг 2

В кипящую воду (2,3 л) добавляем 1 ст. ложку соли, 1 ст. ложку оливкового масла и спагетти.
Варим спагетти так, как указано на их упаковке, важно соблюдать указанное время варки, чтобы сварить спагетти правильно.

Шаг 3

Отделяем 3 желтка от белков. Кладем в миску желтки и одно яйцо, солим и перчим (по 1 щепотке), хорошо взбиваем.

Шаг 4

Добавляем 2 ст. ложки натертого сыра, перемешиваем.

Шаг 5

Готовые спагетти откидываем на дуршлаг, предварительно оставив 300 мл воды, в которой они варились.

Шаг 6

Выключаем огонь под сковородой с беконом, добавляем спагетти и 1 ст. ложку сливочного масла.
Вливаем взбитые яйца с сыром, все тщательно перемешиваем. Постепенно добавляем 300 мл бульона (воды)
от спагетти и постоянно перемешиваем, яйца не должны свернуться.

Шаг 7

Чтобы соус немного загустел, под сковородой включаем слабый огонь и постоянно перемешиваем примерно 1 минуту, чтобы яйца не сварились.
Если соус получится очень густой, можете добавить еще бульона.

Шаг 8

Выкладываем спагетти на тарелку, сверху посыпаем черным молотым перцем и тертым сыром. Паста карбонара готова."
Паста Карбонара,Бекон,
Паста Карбонара,Яйца,
Паста Карбонара,Сыр,
Паста Карбонара,Сливочное масло,
Паста Карбонара,Растительное масло,
Паста Карбонара,Чеснок,
Паста Карбонара,Вода,
Паста Карбонара,Соль,
Паста Карбонара,Черный перец,
Тушеный картофель с курицей,Картофель,"Шаг 1

Подготовьте все ингредиенты для тушеной картошки с курицей в кастрюле по списку.
Курицу промойте и обсушите. Срежьте жир и удалите кожу и хрящи.
Нарежьте на порционные куски. Натрите их солью, перцем и прованскими травами и оставьте мариноваться на 20 минут.

Шаг 2

Картофель и морковь тщательно промойте при помощи овощной щеточки. Очистите, а затем нарежьте картофель кубиками,
а морковь натрите на терке. Луковицу очистите и нарежьте полукольцами. Сельдерей – кубиками.

Шаг 3

В глубокой кастрюле разогрейте растительное масло и выложите кусочки курицы. Жарьте с одной стороны до золотистого цвета,
затем переверните и готовьте на другой. Птица должна жариться, а не тушиться.

Шаг 4

Выложите лук и жарьте, помешивая, 1-2 минуты. Добавьте натертую на терке морковь и готовьте еще 5 минут.
Выложите картофель и сельдерей, томатную пасту, влейте куриный бульон, и тушите под крышкой на медленном огне около 30-40 минут.

Шаг 5

По прошествии времени, блюдо приправьте солью и перцем, перемешайте. Выложите лавровый лист и тушите еще 5 минут.
Затем снимите с огня. Лавровый лист выньте.

Шаг 6

Картофель с курицей разложите по порционным тарелкам, посыпьте зеленью и подавайте на стол горячим.
Отлично сочетаются с блюдом свежие или маринованные овощи."
Тушеный картофель с курицей,Куриные ножки,
Тушеный картофель с курицей,Репчатый лук,
Тушеный картофель с курицей,Сельдерей,
Тушеный картофель с курицей,Морковь,
Тушеный картофель с курицей,Прованские травы,
Тушеный картофель с курицей,Томатная паста,
Тушеный картофель с курицей,Растительное масло,
Тушеный картофель с курицей,Лавровый лист,
Тушеный картофель с курицей,Соль,
Мясной пирог,Молоко,"Шаг 1

Просеиваем муку (сначала 350 граммов, чтобы не забить тесто) и добавляем все сухие ингредиенты: дрожжи, сахар, соль. Перемешиваем.

Шаг 2

В муке делаем углубление и добавляем тёплую воду, тёплое молоко и масло, перемешиваем и собираем тесто ложкой
(при необходимости добавляем частями муку).

Шаг 3

Затем вымешиваем тесто руками, примерно минут 7. Тесто будет мягкое и не будет липнуть к рукам.

Шаг 4

Чашку смазываем маслом. Из теста формируем шарик и кладём его в чашку и накрываем пленкой.
Оставляем тесто в тёплом месте для подъема, примерно на 1 час.

Шаг 5

Готовим начинку: мясо промываем и нарезаем небольшими кусочками, мелко режем лук, картофель нарезаем тонкими полосками.

Шаг 6

К мясу добавляем лук, соль, перец, картофель и немного растительного масла для сочности. Хорошо перемешиваем начинку.

Шаг 7

Тесто увеличилось, стало воздушным и пористым.

Шаг 8

Делим тесто на 2 неравные части, формируем шарики.

Шаг 9

Каждую часть раскатываем в пласт толщиной 0,5 см. Бóльшая часть будет низом пирога, её раскатываем чуть больше размера формы.

Шаг 10

Форму смазываем растительным маслом, выкладываем тесто, формируем бортики.

Шаг 11

Выкладываем начинку, разравниваем.

Шаг 12

Раскатываем вторую часть теста по размеру формы. Накрываем начинку.
Защипываем (проходим несколько раз) края теста и делаем в центре дырочку для выхода пара.
Накрываем пирог салфеткой и оставляем минут на 10. Разогреваем духовку до 180 градусов.

Шаг 13

Пирог для румяности смазываем смесью яйца и молока. Это делаем по желанию.

Шаг 14

Выпекаем в заранее разогретой духовке при температуре 180 градусов примерно минут 20, до легкого румянца.
Пирог достаём из духовки. В дырочку в центре вливаем немного тёплой воды, чтобы пирог был сочным.

Шаг 15

Затем закрываем форму фольгой и выпекаем ещё примерно 40-50 минут при температуре уже 170 градусов, до готовности.
Готовность определяем по готовности картофеля и мяса.

Шаг 16

Готовый пирог достаём из духовки, смазываем кусочком сливочного масла, накрываем салфеткой и даём ему остыть."
Мясной пирог,Вода,
Мясной пирог,Сливочное масло,
Мясной пирог,Мука,
Мясной пирог,Сахар,
Мясной пирог,Соль,
Мясной пирог,Дрожжи,
Мясной пирог,Растительное масло,
Мясной пирог,Мясо,
Мясной пирог,Картофель,
Мясной пирог,Репчатый лук,
Мясной пирог,Черный перец,
Мясной пирог,Яйца,
Овощное рагу,Картофель,"Шаг 1

Нарезать мелко петрушку и базилик, добавить соль, перец и 1 размолотый зубчик чеснока, все хорошо перемешать.

Шаг 2

Нарезать все овощи мелкими кубиками.

Шаг 3

На разогретую сковороду добавить растительное масло и выложить лук. Обжарить лук в течение 1 минуты.

Шаг 4

Добавить морковь и жарить 3 минуты.

Шаг 5

Добавить картофель и жарить 10 минут, иногда помешивая.

Шаг 6

Добавить помидоры и перец, жарить еще 5 минут.

Шаг 7

Всё перемешать и выложить сверху кабачок, не перемешивая. Накрыть крышкой и на слабом огне тушить овощное рагу 20 минут.

Шаг 8

Выключить плиту, добавить подготовленную зелень к тушеным овощам и аккуратно перемешать."
Овощное рагу,Кабачок,
Овощное рагу,Помидоры,
Овощное рагу,Перец,
Овощное рагу,Морковь,
Овощное рагу,Репчатый лук,
Овощное рагу,Петрушка,
Овощное рагу,Базилик,
Овощное рагу,Чеснок,
Овощное рагу,Соль,
Овощное рагу,Черный перец,
Овощное рагу,Растительное масло,
Салат Цезарь,Хлеб,"Шаг 1

Нарезаем хлеб кубиками на сухарики.
Приготовьте сухарики для простого салата Цезарь с курицей. Для этого срежьте с хлеба корку, мякиш нарежьте кубиками.
Выложите их на противень, выстланный бумагой для выпечки, и поместите в духовку, нагретую до 160°C, на 10-15 минут.
Они должны подсохнуть и стать хрустящими. Дайте остыть.

Шаг 2

Режем перепелиные яйца
Яйца для салата сварите вкрутую. Для этого поместите их в ковшик, залейте холодной водой и доведите до кипения.
Перепелиные варите 5 минут, куриные - 8 минут. Воду слейте, яйца залейте холодной водой и дайте остыть.
Очистите и разрежьте на половинки (перепелиные) или на четвертинки (куриные).

Шаг 3

Рвем листья салата.
Листья салата вымойте и хорошо обсушите, разложив на бумажном полотенце. Порвите салат на удобные для еды кусочки.

Шаг 4

Нарезаем куриное филе и черри.
Куриное филе нарежьте небольшими кубиками. Помидоры черри вымойте, обсушите и разрежьте пополам.

Шаг 5

Натираем сыр на терке.
Половину сыра нарежьте кубиками, оставшийся — натрите на мелкой терке.

Шаг 6

Готовим чесночный соус для салата Цезарь
Приготовьте простой чесночный соус для салата Цезарь с курицей. Чеснок пропустите через пресс в небольшую мисочку.
Добавьте лимонный сок, горчицу, майонез, посолите и поперчите по вкусу. Тщательно перемешайте.

Шаг 7

Перемешиваем все ингредиенты
На блюдо выложите половину листьев салата и полейте их небольшим количеством соуса.
Затем выложите половину куриного филе и посыпьте половиной сухариков. Снова полейте соусом.
Выложите оставшиеся листья салата, сухарики, куриное филе и сыр, нарезанный кубиками.

Шаг 8

Простой салат Цезарь с курицей готов к подаче
Полейте оставшимся чесночным соусом. Простой салат Цезарь с курицей украсьте помидорами черри и перепелиными (или куриными) яйцами.
Посыпьте тертым сыром и сразу подайте на стол."
Салат Цезарь,Куриное филе,
Салат Цезарь,Перепелиные яйца,
Салат Цезарь,Салат,
Салат Цезарь,Помидоры черри,
Салат Цезарь,Сыр,
Салат Цезарь,Чеснок,
Салат Цезарь,Лимонный сок,
Салат Цезарь,Горчица,
